"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Symbol","Significant"
"224428_s_at",-6.41231243061396,7.19526885714286,-28.5299298563297,1.65985441677691e-40,4.95848309923767e-36,81.6633171842447,"224428_s_at","CDCA7","Yes"
"228554_at",7.81091245584525,5.71910871428572,26.7820044388058,9.95152071118654e-39,1.48640889102638e-34,77.689542065626,"228554_at","PGR","Yes"
"233388_at",5.01038352396972,5.891073,26.4864578936579,2.03208229822105e-38,1.88594415304669e-34,76.9946699110547,"233388_at",NA,"Yes"
"209464_at",-4.13942412952061,5.64484157142857,-26.3970372924185,2.52528256692892e-38,1.88594415304669e-34,76.7830719814693,"209464_at","AURKB","Yes"
"228241_at",8.99794317073171,6.09787614285714,26.1733151522636,4.36076422343671e-38,2.6053821929345e-34,76.2508821445138,"228241_at","AGR3","Yes"
"1558447_at",4.79951782169891,4.78304557142857,25.7822602697893,1.14358260210594e-37,5.69370717878514e-34,75.3109463982814,"1558447_at",NA,"Yes"
"1558448_a_at",3.82857266610597,5.24477857142857,25.5602112110584,1.98754021573184e-37,8.48196983779387e-34,74.7716618645868,"1558448_a_at",NA,"Yes"
"221591_s_at",-3.92246715727502,4.25581642857143,-25.0084027498474,7.98395549199642e-37,2.98130878015511e-33,73.4136758672894,"221591_s_at","PIMREG","Yes"
"203418_at",-4.95214237174096,5.21501742857143,-24.3172597358562,4.71867715503059e-36,1.56623380724699e-32,71.6760154505416,"203418_at","CCNA2","Yes"
"209642_at",-4.76718909167368,6.00392385714286,-23.9461862752068,1.24530985278517e-35,3.38722627191753e-32,70.725718719202,"209642_at","BUB1","Yes"
"204822_at",-5.63002980656014,6.88637371428571,-23.9455906327541,1.24726304660037e-35,3.38722627191753e-32,70.7241833903644,"204822_at","TTK","Yes"
"206364_at",-4.74410217830109,7.59408014285714,-23.8093499333507,1.78643710647527e-35,4.44718630681131e-32,70.3721660788547,"206364_at","KIF14","Yes"
"204318_s_at",-4.24882550883095,6.35947814285714,-23.2530528180709,7.87774975861646e-35,1.810246296455e-31,68.9171788296788,"204318_s_at","GTSE1","Yes"
"210735_s_at",6.57978318755256,5.74161871428571,23.1253367359841,1.11181328796108e-34,2.37237131080439e-31,68.5790841019297,"210735_s_at","CA12","Yes"
"218542_at",-4.49907569386039,6.36620428571429,-23.0770809480857,1.26687334030847e-34,2.52302048633567e-31,68.4509404463649,"218542_at","CEP55","Yes"
"220651_s_at",-4.58268918418839,5.79413514285714,-22.6385586806556,4.1900376583391e-34,7.82306218547275e-31,67.2763005887316,"220651_s_at","MCM10","Yes"
"204508_s_at",6.15120830950379,5.44214114285714,22.5298162187903,5.65228966600055e-34,9.64945417402676e-31,66.9821636028464,"204508_s_at","CA12","Yes"
"232286_at",6.80833019343986,6.48551857142857,22.5195719846439,5.8142863164892e-34,9.64945417402676e-31,66.9543949661883,"232286_at",NA,"Yes"
"211110_s_at",6.20781709840202,5.49447042857143,22.1632265932409,1.5632647927188e-33,2.45786363962572e-30,65.9820833754603,"211110_s_at","AR","Yes"
"210052_s_at",-5.40612105130362,7.41790957142857,-22.1009556649834,1.86048979229427e-33,2.77892057826034e-30,65.810890590281,"210052_s_at","TPX2","Yes"
"215304_at",5.61772574432296,5.82988157142857,21.8988139509592,3.28191220099666e-33,4.46047874008873e-30,65.2525131362915,"215304_at",NA,"Yes"
"209408_at",-5.07789294365013,6.23150271428571,-21.8984884030342,3.28492392066254e-33,4.46047874008873e-30,65.2516105812261,"209408_at","KIF2C","Yes"
"226473_at",-5.11695520605551,4.99889514285714,-21.8024346509353,4.30779702672894e-33,5.4930275559334e-30,64.9848447202087,"226473_at","CBX2","Yes"
"244696_at",5.90632861227923,4.77649171428571,21.7938921767096,4.41310418579994e-33,5.4930275559334e-30,64.961075154785,"244696_at",NA,"Yes"
"226197_at",7.37717147182506,5.48781114285714,21.7646852339349,4.79324162800723e-33,5.7275402861384e-30,64.8797508260159,"226197_at","AR","Yes"
"208103_s_at",-5.24003270815812,7.25227442857143,-21.5715121685722,8.29616527291418e-33,9.53197481529867e-30,64.3397030399282,"208103_s_at","ANP32E","Yes"
"226506_at",4.65497881412952,4.68722585714286,21.1454861150039,2.81798184458976e-32,3.1178359867937e-29,63.1351842418457,"226506_at","THSD4","Yes"
"211621_at",3.67339070647603,3.966055,21.1251780495536,2.98846785334719e-32,3.18837500653716e-29,63.0772979899784,"211621_at","AR","Yes"
"204603_at",-3.7439425567704,5.50816857142857,-21.1037638525692,3.17956641412791e-32,3.27528232721528e-29,63.0162122721873,"204603_at","EXO1","Yes"
"205046_at",-4.52172227922625,5.64469871428571,-20.9881511661423,4.44679805420533e-32,4.42797327577586e-29,62.6855904173179,"205046_at","CENPE","Yes"
"204962_s_at",-4.97315957106813,6.93386957142857,-20.8414666376768,6.81902584918502e-32,6.57112126428078e-29,62.2640924563681,"204962_s_at","CENPA","Yes"
"212021_s_at",-4.55918717409588,5.96011071428572,-20.8229378680236,7.1985271928023e-32,6.72005008845573e-29,62.2106886756475,"212021_s_at","MKI67","Yes"
"225379_at",3.91164804878049,4.70998185714286,20.8031201300556,7.62812889589958e-32,6.90530589415782e-29,62.1535296391056,"225379_at","MAPT","Yes"
"219197_s_at",7.69786836837678,8.13884128571429,20.7845917413135,8.05323268924676e-32,7.07571235664319e-29,62.1000517896863,"219197_s_at","SCUBE2","Yes"
"219918_s_at",-5.21078984020185,7.91011542857143,-20.7406528885408,9.15974860640938e-32,7.81797628912192e-29,61.9730871425543,"219918_s_at","ASPM","Yes"
"212956_at",4.32338067283432,10.2784031428571,20.7228655475843,9.65034268229681e-32,8.0079079707848e-29,61.9216310125396,"212956_at","TBC1D9","Yes"
"218726_at",-4.17254569386039,5.769821,-20.6255641794406,1.28452698930134e-31,1.03709931760538e-28,61.6395568903508,"218726_at","HJURP","Yes"
"225687_at",-5.38692895710681,7.00755814285715,-20.5980121217897,1.39312071697975e-31,1.09517618890358e-28,61.5595007658546,"225687_at","FAM83D","Yes"
"213226_at",-3.871533254836,7.39531371428571,-20.5775780523468,1.47962138589341e-31,1.13335204258446e-28,61.5000744822797,"213226_at","CCNA2","Yes"
"229150_at",6.81025948696384,6.93959614285714,20.3750566376623,2.69434189793544e-31,2.01220188792564e-28,60.9086792923338,"229150_at",NA,"Yes"
"226192_at",7.27840865433137,6.68698414285714,20.2787055445037,3.58874700747498e-31,2.6147960818122e-28,60.6257652088606,"226192_at","AR","Yes"
"232944_at",3.88941410428932,4.35423528571429,19.9506559008584,9.59337774306158e-31,6.82340412663045e-28,59.6549329395803,"232944_at",NA,"Yes"
"218355_at",-4.75591256518082,5.544548,-19.934887404833,1.00605606260901e-30,6.94486529217473e-28,59.6079700923044,"218355_at","KIF4A","Yes"
"228718_at",3.21299605550883,5.415823,19.9293798450016,1.02291056424091e-30,6.94486529217473e-28,59.5915606244851,"228718_at","ZNF44","Yes"
"218663_at",-3.70629879730866,6.75410042857143,-19.8660402639179,1.2385684238308e-30,8.2221676722439e-28,59.4026029751258,"218663_at","NCAPG","Yes"
"225834_at",-4.76728500420522,7.525759,-19.807367498499,1.47926775346602e-30,9.60655773897617e-28,59.2271713395814,"225834_at","FAM72C","Yes"
"202580_x_at",-4.92070437342305,6.81614857142857,-19.5778143772298,2.97400765829964e-30,1.89026661226352e-27,58.5371249164824,"202580_x_at","FOXM1","Yes"
"227081_at",5.31090888982338,4.485581,19.5356030207504,3.38362580217389e-30,2.10581361642376e-27,58.4095940684255,"227081_at","DNALI1","Yes"
"227198_at",6.85417000841043,6.30431057142857,19.4721105029388,4.10992404457975e-30,2.50562777517818e-27,58.2173902465381,"227198_at","AFF3","Yes"
"203928_x_at",4.64092126156434,5.39973542857143,19.3646219937878,5.7179306083522e-30,3.4162348212661e-27,57.8909655056623,"203928_x_at","MAPT","Yes"
